journal,impact,Access,note,article,downloads
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5324,8215
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5693,7320
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5170,6603
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5358,5108
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5191,4421
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4237,4299
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5758,3469
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5032,3355
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5708,3283
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4523,3131
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3881,3083
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5481,3066
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4490,3065
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2284,3029
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4648,2853
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5712,2708
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4214,2512
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2922,2404
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5238,2359
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5745,2268
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5642,2225
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5482,2212
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4433,2137
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8009,2120
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3373,2111
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5305,2105
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5775,2041
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3108,2037
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5394,1984
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4983,1913
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",8358,1898
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5636,1876
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5333,1820
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5703,1812
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3482,1777
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5710,1740
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5428,1734
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5294,1722
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5592,1716
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5542,1687
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2994,1686
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5240,1629
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",5580,1616
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",3630,1594
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",7057,1566
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4775,1548
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4634,1548
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",2503,1548
bioinformatics,5.481,Hybrid or closed access,"***authors can ""self-archive"" after a year***",4430,1541
